-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                      aten::masked_fill         0.01%       1.700ms         0.06%      13.264ms      80.388us       0.000us         0.00%       1.101ms       6.673us           0 b           0 b       7.20 Mb           0 b           165  
                                         aten::new_ones         0.03%       5.972ms         0.06%      13.247ms      80.285us       0.000us         0.00%     264.000us       1.600us           0 b           0 b      82.50 Kb      -2.50 Kb           165  
                                           aten::cumsum         0.03%       7.623ms         0.06%      12.737ms      77.194us     819.000us         0.01%       1.979ms      11.994us           0 b           0 b       2.48 Mb       2.48 Mb           165  
                                       aten::is_nonzero         0.01%       1.260ms         0.05%      11.533ms      69.476us       0.000us         0.00%     948.000us       5.711us           0 b           0 b           0 b           0 b           166  
                                             aten::item         0.00%     944.000us         0.05%      10.857ms      64.625us       0.000us         0.00%     966.000us       5.750us           0 b           0 b           0 b           0 b           168  
                                               aten::eq         0.03%       7.398ms         0.05%      10.443ms      31.550us     655.000us         0.01%       1.854ms       5.601us           0 b           0 b     413.00 Kb     413.00 Kb           331  
                              aten::_local_scalar_dense         0.01%       1.605ms         0.05%      10.151ms      60.423us     336.000us         0.01%     974.000us       5.798us           0 b           0 b           0 b           0 b           168  
                                           aten::argmax         0.03%       6.374ms         0.04%      10.002ms      60.618us       2.974ms         0.05%       3.071ms      18.612us           0 b           0 b      82.50 Kb      82.50 Kb           165  
                                     aten::masked_fill_         0.03%       5.613ms         0.04%       9.737ms      29.417us     686.000us         0.01%     984.000us       2.973us           0 b           0 b           0 b           0 b           331  
                                            aten::clone         0.01%       1.706ms         0.04%       9.664ms      46.239us       0.000us         0.00%       3.493ms      16.713us           0 b           0 b     470.94 Mb           0 b           209  
                                               aten::ne         0.02%       4.149ms         0.03%       6.495ms      39.364us     323.000us         0.01%     466.000us       2.824us           0 b           0 b      82.50 Kb      82.50 Kb           165  
                                            aten::fill_         0.02%       3.733ms         0.03%       6.193ms      23.819us     179.000us         0.00%     281.000us       1.081us           0 b           0 b           0 b           0 b           260  
                                           aten::arange         0.01%       2.873ms         0.03%       6.181ms      46.826us       2.000us         0.00%       4.000us       0.030us       1.04 Mb     117.50 Kb      29.00 Kb           0 b           132  
                                             aten::set_         0.02%       5.299ms         0.02%       5.299ms      10.132us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           523  
                                           aten::select         0.02%       4.427ms         0.02%       4.896ms      14.528us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           337  
cudaOccupancyMaxActiveBlocksPerMultiprocessorWithFla...         0.02%       4.747ms         0.02%       4.747ms       1.499us      15.220ms         0.27%      15.220ms       4.807us           0 b           0 b           0 b           0 b          3166  
                                          aten::resize_         0.01%       2.542ms         0.01%       3.273ms      13.987us       0.000us         0.00%       0.000us       0.000us     432.00 Kb     432.00 Kb      15.84 Mb      15.84 Mb           234  
                                       aten::empty_like         0.01%       1.230ms         0.01%       3.264ms      15.617us       0.000us         0.00%       0.000us       0.000us           0 b           0 b     470.94 Mb           0 b           209  
                                                detach_         0.01%       2.890ms         0.01%       2.890ms       0.497us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          5812  
                                        aten::new_empty         0.00%     923.000us         0.01%       2.755ms      16.697us       0.000us         0.00%       0.000us       0.000us           0 b           0 b      82.50 Kb       2.50 Kb           165  
                             cudaGetDeviceProperties_v2         0.01%       2.514ms         0.01%       2.514ms       2.514ms       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                       aten::layer_norm         0.00%     316.000us         0.01%       2.403ms      96.120us       0.000us         0.00%     150.000us       6.000us           0 b           0 b     528.00 Kb     -22.00 Kb            25  
                                           aten::unfold         0.01%       1.956ms         0.01%       2.380ms       7.212us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           330  
                                aten::native_layer_norm         0.00%       1.086ms         0.01%       2.087ms      83.480us     150.000us         0.00%     150.000us       6.000us           0 b           0 b     550.00 Kb           0 b            25  
                                        cudaMemsetAsync         0.01%       1.728ms         0.01%       1.728ms       7.680us       9.942ms         0.18%       9.942ms      44.187us           0 b           0 b           0 b           0 b           225  
                                         cuLaunchKernel         0.01%       1.718ms         0.01%       1.718ms      10.412us      43.000us         0.00%      43.000us       0.261us           0 b           0 b           0 b           0 b           165  
                                             aten::ones         0.00%     783.000us         0.01%       1.704ms      25.818us       0.000us         0.00%       1.000us       0.015us     520.00 Kb       8.00 Kb         512 b           0 b            66  
                                          aten::permute         0.01%       1.350ms         0.01%       1.576ms      14.071us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           112  
                                        aten::expand_as         0.00%     553.000us         0.01%       1.455ms       8.818us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           165  
                                           aten::narrow         0.00%     382.000us         0.01%       1.402ms      42.485us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            33  
                                     cudaGetDeviceCount         0.01%       1.320ms         0.01%       1.320ms     440.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             3  
                                  cudaStreamIsCapturing         0.00%     936.000us         0.00%     936.000us       3.467us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           270  
